yield_of_CT,Tmax,Tmin,Relative_yield_change
9558.0,28.42663,8.91625,-0.007
9160.0,28.78427,4.50361,-0.0164
4500.0,26.48293,17.14181,-0.1333
8650.0,25.78936,8.37571,-0.0566
8565.0,31.98261,-5.42037,-0.0516
9318.0,31.13493,6.42071,-0.2069
7410.0,33.06484,13.34783,-0.0472
6100.0,22.01139,2.56994,0.0164
9090.0,27.7814,7.58185,-0.0979
5800.0,25.99292977,2.944015749,-0.3793
12100.0,26.23392,3.62873,-0.0992
11195.0,22.09153,-0.10379,-0.1221
692.0,26.21487,8.72521,0.0824
4324.0,30.64233,15.96019,0.0439
9290.0,25.69895,6.81734,-0.1485
13055.0,20.22965,3.92448,-0.0493
7120.0,31.05993,9.18225,-0.0702
32280.0,33.81107,13.65868,-0.1348
6609.0,23.88756,-1.61313,-0.0053
12590.0,26.37735,2.8024,-0.1811
2200.0,33.04975,20.35808,0.0455
8300.0,38.91278,19.24657,0.1205
5637.0,26.76873,3.33438,-0.0374
11300.0,31.00905,3.25557,-0.1416
3859.0,21.32608,3.09542,0.0332
11508.0,31.09053,10.40166,-0.0534
3090.0,32.92098,18.02618,-0.3819
12000.0,38.91278,19.24657,0.0917
8137.622732,30.63168,4.48174,0.0744
10000.0,26.99082,16.62827,-0.24
10700.0,27.80017,7.15456,-0.1084
6438.0,29.74644,10.25183,-0.0797
8631.0,28.13424,5.21823,-0.0484
4200.0,33.3985,8.79652,0.1643
2340.0,26.48293,17.14181,-0.5726
1800.0,26.6788,17.19974,-0.5
7616.0,22.54871,2.44557,-0.0599
12020.0,26.64484,1.77962,0.0233
7390.0,28.17155,5.35148,-0.0758
12700.0,30.55226,2.8713,0.0079
1498.0,24.50043,6.99138,-0.2617
11685.0,29.51555,5.9568,-0.248
8450.0,30.34392,15.63515,0.0308
9800.0,41.81672,19.74682,0.2143
9610.0,27.27467,6.81687,-0.1217
9200.0,26.9738,1.82052,-0.2859
9830.0,30.015,0.75342,-0.2356
8746.0,20.83226,2.32066,-0.2941
4142.0,25.12132,3.03518,-0.275
3910.0,32.22831,17.98771,-0.5575
2200.0,26.6788,17.19974,0.0
8442.0,31.3676935,0.722333847,0.0501
11300.0,38.09192,19.49525,0.0257
10289.0,18.98313,1.90458,0.0125
220.0,27.41816,7.9551,-0.0045
9918.0,30.015,0.75342,-0.1295
6205.0,29.26888,4.1768,0.0077
7700.0,41.81672,19.74682,0.0649
6490.0,24.99609172,-0.377882865,0.0545
4593.0,23.88756,-1.61313,0.1163
6400.0,26.6788,17.19974,-0.1563
14600.0,32.77286,12.24747,-0.2808
14000.0,31.31466,6.93685,-0.0714
3840.0,41.91501,18.08905,0.0156
2941.0,25.16097,8.72194,0.1054
7331.0,21.71303,1.28868,-0.0964
1792.0,26.21487,8.72521,-0.2734
10440.0,33.68884,8.97663,-0.0182
9599.0,40.53674,20.90237,0.1767
14090.0,27.75401,8.77322,-0.0575
9534.0,28.6942,6.09839,0.079
14500.0,40.21164,21.4263,-0.0552
5331.0,23.51321,-1.16091,0.0047
9510.0,31.13493,6.42071,-0.1714
5400.0,38.58161,26.50431,0.0926
4300.0,26.30599,2.38646,-0.6279
9358.0,32.4931,2.44523,-0.0657
8600.0,28.6768,6.19587,-0.0349
6038.0,33.63775,8.52692,-0.256
9300.0,30.55226,2.8713,-0.1075
5270.0,30.64233,15.96019,-0.1435
2410.0,38.48885,17.90754,-0.1452
3300.0,26.48293,17.14181,-0.4545
6925.0,22.54870605,2.445574607,-0.0354
8160.0,31.8859,4.8187,-0.0576
6435.0,23.96254,-1.04606,-0.2287
21269.0,25.6944,2.79841,-0.1819
9500.0,25.61568,4.57945,-0.0105
13900.0,32.49821423,5.561888172,-0.0504
8340.0,25.52041,5.62255,-0.1391
7059.0,30.04979,3.83426,-0.4471
11672.0,28.47854,8.17972,-0.0127
4880.0,29.7583,2.0238,0.1189
6600.0,37.50149,26.00586,-0.0303
10000.0,27.76024,5.64082,0.09
10610.0,30.12658,7.14011,-0.0264
4746.0,24.53529,0.1758,0.1338
6967.0,29.9373,9.46676,-0.2121
2878.0,25.62066,8.03995,-0.1682
7700.0,41.81672,19.74682,0.0519
6691.0,26.10487,5.44561,0.0043
5510.0,40.13661,16.83765,0.0236
6970.0,32.12014,9.91029,-0.1578
9580.0,30.01398,6.87157,-0.1357
3239.0,27.87413,3.00999,0.4724
4000.0,26.99082,16.62827,-0.025
7524.0,21.08856,3.85794,-0.1624
4520.0,22.94786,-1.89181,0.2573
1756.0,34.54738,3.92343,0.4288
6830.0,29.26888,4.1768,-0.123
3600.0,27.16554,1.73544,0.0
38690.0,32.77048,12.7759,-0.052
1238.0,28.11711,9.32528,-0.5153
6625.0,28.70729,-1.09092,-0.0047
4750.0,24.67301,5.33668,0.0211
8790.0,29.82978,8.56115,-0.43
1682.0,24.50043,6.99138,-0.0238
6200.0,26.30599,2.38646,-0.3387
5115.0,24.19251,6.46757,-0.1081
6560.0,23.2259,5.94151,0.2012
8247.0,39.81103,20.43515,-0.0857
4937.0,32.78049,16.45278,-0.3227
8190.0,25.78936,8.37571,0.0488
13600.0,30.66593,4.51232,-0.1618
4014.0,23.79651,5.48964,-0.06
4568.0,30.64233,15.96019,-0.0652
500.0,26.6788,17.19974,-0.2
3100.0,36.08873,16.77941,-0.0645
5000.0,38.91278,19.24657,0.04
2110.0,26.54872,0.79462,-0.0758
11490.0,29.77124,5.90084,-0.154
4355.0,24.19251,6.46757,-0.1683
6270.0,31.14711,6.27729,-0.0797
8265.0,31.73262,14.99683,-0.0399
4758.0,31.11509,17.37379,-0.0858
5994.0,25.57545,10.66417,-0.2139
9600.0,29.77124,5.90084,-0.0688
400.0,26.6788,17.19974,-0.5
6359.0,25.37147,3.9652,-0.0259
13774.0,34.45457,5.2742,-0.2192
10720.0,40.53674,20.90237,-0.1138
10900.0,31.50594,8.81776,-0.2385
3200.0,36.97631,16.75304,0.2188
10974.0,32.88844,11.05887,0.0101
11670.0,31.98261,-5.42037,-0.0891
9200.0,30.0553,4.95569,-0.1739
6990.0,31.98261,-5.42037,-0.329
18270.0,27.22127,5.96513,-0.006
2930.0,38.48885,17.90754,-0.2901
9520.0,30.50853,14.79686,-0.0032
11700.0,29.26216,8.45563,0.0684
8210.0,27.46874,-4.82075,-0.0524
5697.0,25.23432,11.56289,-0.4011
5741.0,32.34329,8.52078,-0.6168
15048.0,18.50414,1.49847,-0.1496
6080.0,31.14711,6.27729,-0.0197
15800.0,34.95042,12.99181,-0.1139
9394.0,31.09053,10.40166,0.2398
7283.0,32.8958,7.43173,-0.0846
8102.0,29.89469,7.46473,0.1213
10220.0,28.3748,1.98725,-0.2603
9100.0,25.61568,4.57945,0.022
495.0,28.11711,9.32528,-0.3939
9270.0,28.86081,3.28446,-0.0022
8010.0,29.51864,6.93195,0.0836
6751.0,32.00902,6.33477,-0.2537
6460.0,26.88171,2.43886,0.0294
5852.0,23.2186,1.69684,-0.0989
13964.0,29.96927,-3.21418,-0.1765
7168.0,29.26888,4.1768,0.0212
3100.0,40.21164,21.4263,0.0323
1680.0,32.22831,17.98771,-0.6131
7513.0,32.00902,6.33477,-0.0849
9780.0,25.69895,6.81734,-0.0961
10520.0,24.67301,5.33668,-0.1454
8400.0,26.99082,16.62827,-0.4762
1880.0,30.35739,8.60403,0.6702
4644.0,23.51321,-1.16091,0.1533
10780.0,28.81189,-0.16429,-0.0436
7000.0,31.50872,4.28239,-0.0429
10986.0,31.38396,-4.81392,-0.3492
2730.0,31.60278,15.39401,0.0099
9270.0,25.00612,4.77815,-0.0636
10099.0,29.90718,8.49378,0.1792
4704.0,33.81494,5.66872,0.5999
8513.0,26.07631,4.34382,-0.182
3415.0,25.03714285,15.51644405,0.3189
13800.0,27.69235,5.07457,0.3623
9905.0,31.54318,7.40149,-0.0539
6639.0,30.8548,4.05981,-0.1568
8100.0,27.69235,5.07457,0.4815
7035.0,29.26888,4.1768,0.0067
8600.0,41.81672,19.74682,0.1512
800.0,28.03758,4.98223,0.5
9010.0,32.53722,25.76134,0.2364
8682.0,21.06027,2.35728,-0.2666
3932.0,23.88756,-1.61313,0.1488
13606.0,29.96927,-3.21418,-0.2078
9580.0,30.22943,6.30626,-0.2829
6000.0,35.45598,26.29375,0.0167
12092.0,28.35973,5.22823,0.0036
10500.0,31.36946,6.17142,-0.0476
8550.0,30.79197,7.39909,-0.1345
7812.0,28.70729,-1.09092,0.09
9244.0,29.40154,3.51329,-0.0921
22740.0,24.67301,5.33668,-0.1464
496.0,26.21487,8.72521,-0.4798
4593.0,24.19251,6.46757,0.2702
2756.0,33.61996,4.84391,0.373
9997.0,29.48987,4.37156,-0.0164
1794.0,27.41816,7.9551,0.1037
14200.0,27.70464,4.34373,-0.0845
4910.0,34.49125,2.97303,0.4318
8000.0,33.76276,22.5147,-0.15
8120.0,25.53342,10.18117,0.0259
1570.0,32.22831,17.98771,-0.414
16410.0,24.49918,5.16301,-0.1335
8698.0,34.24281,20.35569,-0.0952
9050.0,28.86081,3.28446,0.0223
5700.0,38.46637,26.5978,0.2807
2500.0,26.6788,17.19974,-0.04
1800.0,28.52661,11.30607,-0.0556
13466.0,29.7984,7.28592,-0.4383
3900.0,34.06507,20.07154,-0.2821
8740.0,29.86553,6.86344,-0.167
6304.0,31.38396,-4.81392,-0.1399
8570.0,25.53342,10.18117,-0.0105
8100.0,27.76024,5.64082,0.3704
10044.0,28.13424,5.21823,0.1025
6669.0,38.5614,25.08008,0.1011
11000.0,29.77124,5.90084,-0.1791
3320.0,31.14711,6.27729,-0.0542
8503.0,24.99609172,-0.377882865,0.0096
2878.0,25.62066,8.03995,-0.0108
10800.0,27.80017,7.15456,-0.1481
9800.0,34.18875,26.68599,0.0
5054.0,31.60278,15.39401,-0.1124
3200.0,38.09358,19.64371,0.25
4000.0,31.94111,20.4653,-0.15
2676.0,35.89181,15.09477,-0.105
3690.0,22.15133,7.95546,-0.2276
2400.0,34.2233,23.29779,0.1667
7470.0,28.30306,3.01697,-0.1084
2100.0,34.2233,23.29779,0.5238
10222.15806,31.05623,4.28486,0.0856
11400.0,38.91278,19.24657,0.2105
5200.0,27.4853,5.79155,-0.3135
3800.0,26.6788,17.19974,-0.0526
13900.0,30.22943,6.30626,-0.141
14250.0,27.75401,8.77322,-0.1361
4310.0,28.01236,13.10176,0.3828
13330.0,30.25089,9.41076,-0.0165
6117.0,33.63775,8.52692,0.0726
7749.0,29.33641,10.44471,-0.093
12900.0,29.61581,6.62734,0.0155
8520.0,24.13222,10.73315,0.0106
13831.0,27.16554,1.73544,-0.2546
3497.0,33.61996,4.84391,0.1375
11164.70258,33.60631,1.71847,0.0361
14172.0,27.16554,1.73544,-0.1957
2796.0,27.28121,11.99453,-0.2722
19700.0,32.11294,11.09104,-0.2741
7498.0,29.05709,10.78784,-0.1622
7420.0,28.47067,5.607,-0.1038
7100.0,26.30599,2.38646,-0.1127
7340.0,31.46573,3.70733,-0.1717
14400.0,27.56902466,5.056931526,-0.0486
11457.0,27.77941,-5.48222,0.0585
12370.0,31.38396,-4.81392,-0.0978
4837.0,24.19251,6.46757,-0.1021
12846.05618,33.12348,5.74753,-0.0158
10409.0,31.09053,10.40166,0.2635
4313.0,23.79651,5.48964,-0.0345
10624.0,28.03758,4.98223,-0.0441
17100.0,34.86976,10.59911,-0.0819
6920.0,27.27658,-4.86435,-0.3902
6599.0,24.1535802,-4.514760663,-0.0042
5290.0,28.69421,10.67545,-0.1263
3505.0,32.97991,9.33402,0.0933
10297.0,32.88844,11.05887,0.0269
2500.0,41.81672,19.74682,0.08
11300.0,26.19134,6.65006,-0.1035
4637.0,25.16097,8.72194,-0.0358
5326.0,29.94307,-9.69776,0.0749
4830.0,38.09192,19.49525,-0.1511
10230.0,28.75747,5.77022,-0.0997
11000.0,31.00905,3.25557,-0.0818
9000.0,26.01145,-3.7539,0.0178
4241.0,35.02888,6.68193,0.066
8200.0,29.24391,18.14437,-0.0854
6250.0,26.51865,6.44425,0.0208
9960.0,30.79197,7.39909,-0.0663
7700.0,29.66522,5.8443,-0.1429
7600.0,29.24391,18.14437,0.0789
7016.0,26.97492,7.50703,-0.0453
3280.0,22.67812,6.4591,0.1067
6138.0,29.89759,11.69641,-0.2452
17080.0,29.77124,5.90084,-0.4614
2878.0,25.62066,8.03995,-0.2078
1820.0,29.05464,3.61372,-0.1044
4380.0,31.36874,16.4265,-0.2836
2459.0,30.64233,15.96019,0.1322
10600.0,28.72965,7.02579,0.0943
8200.0,28.52661,11.30607,-0.0732
983.0,24.50043,6.99138,0.2991
5000.0,40.53674,20.90237,0.05
6397.0,31.78592,3.43443,0.0686
4892.0,33.81494,5.66872,0.2179
7666.0,30.80348,15.64812,-0.3223
8830.0,24.67301,5.33668,-0.017
5460.0,32.67227,10.46222,0.0513
6600.0,32.64844,5.4728,0.197
3920.0,28.89948,2.38381,-0.1046
8800.0,30.37499,5.68792,0.0227
12440.0,27.27658,-4.86435,-0.0844
8906.0,28.41125,5.12454,-0.0263
4000.0,26.2691,4.42474,0.325
16800.0,27.69235,5.07457,0.244
13830.0,27.22127,5.96513,0.034
8670.0,28.30306,3.01697,-0.1084
5880.0,23.2259,5.94151,-0.2925
8040.0,32.74878,2.94235,0.0609
8265.0,40.54478,18.49906,-0.0845
6000.0,41.81672,19.74682,0.1
4955.0,31.78592,3.43443,0.1899
4380.0,28.52332,9.11171,-0.1621
13100.0,30.3156,5.52771,-0.3053
25700.0,34.95042,12.99181,-0.0272
10800.0,31.00905,3.25557,-0.0556
14590.0,27.23653,2.47817,-0.3324
11400.0,28.16035,8.35861,-0.3623
9000.0,29.1432,6.40126,-0.1
5845.0,30.74439,19.56731,-0.2346
4535.0,25.68532,14.17448,0.3204
8031.0,27.50428,8.01219,-0.3051
14700.0,27.40335,7.70542,-0.0537
9933.0,29.94307,-9.69776,-0.0025
10800.0,30.50853,14.79686,-0.0093
6200.0,34.36645,26.31444,0.0
8535.0,30.8548,4.05981,-0.0239
6300.0,23.49619,5.37768,0.4286
8312.0,34.24281,20.35569,-0.084
5800.0,31.90425,9.23065,-0.1552
12300.0,28.37883,6.33503,-0.1138
3220.0,33.02875,1.94775,-0.3882
2400.0,36.0036,6.03471,0.625
2400.0,26.99082,16.62827,-0.4583
9867.0,28.81297,2.04897,-0.3612
8358.0,37.5226,17.66174,-0.0823
7810.0,29.46641,7.04664,-0.0077
7800.0,26.45092,2.04168,-0.0513
2965.0,25.68532,14.17448,0.6472
11052.0,28.13424,5.21823,-0.159
6500.0,23.0099,4.34895,-0.5385
7600.0,29.66522,5.8443,-0.0395
9100.0,31.93325,2.16649,0.022
7672.0,29.94307,-9.69776,0.187
8232.0,18.50414,1.49847,-0.336
9878.0,28.71078,5.11918,-0.0101
8100.0,32.85749,5.52775,0.321
7352.0,25.39096,3.5754,0.0545
10750.0,31.09053,10.40166,0.1805
8600.0,29.63389,7.03558,-0.1477
7500.0,37.48028,25.51267,0.3333
11457.0,27.77941,-5.48222,0.0377
8570.0,28.75747,5.77022,-0.1774
8700.0,33.27053,6.80028,0.0
11700.0,30.0553,4.95569,-0.1282
9900.0,32.53722,25.76134,0.1364
16410.0,29.77124,5.90084,-0.4619
6918.0,31.67139,1.97819,-0.1623
2550.0,28.98434041,16.10986427,0.5969
6290.0,27.63915,3.76492,-0.0111
1590.0,24.50043,6.99138,-0.1358
11150.0,26.0541,-2.70737,-0.0556
13600.0,26.99082,16.62827,0.0368
7683.0,36.62847,14.02768,-0.3003
4973.0,30.64233,15.96019,-0.1088
4600.0,27.16554,1.73544,-0.2826
7649.0,29.09027,2.10085,-0.0297
9270.0,28.42426,2.39395,0.2977
7937.0,29.06431,2.79862,0.0157
6453.0,28.45637,5.49375,-0.0862
4685.0,24.53529,0.1758,0.0455
2500.0,34.2233,23.29779,0.36
10607.0,28.80748,2.59857,0.064
9702.0,33.27401,4.93877,0.2369
7300.0,30.87766,5.47548,0.0274
8800.0,28.88535,4.94658,-0.2955
12900.0,38.91278,19.24657,0.124
2810.0,22.00519,7.05137,-0.1423
8140.0,29.36416,0.70092,0.0061
12254.0,27.27658,-4.86435,-0.0756
9100.0,30.50853,14.79686,0.1319
7910.0,25.78936,8.37571,-0.2225
8624.0,31.52832,17.43721,-0.0237
4730.0,29.7583,2.0238,0.0402
6752.0,23.2186,1.69684,0.3906
4005.0,28.01236,13.10176,0.196
13060.0,30.22943,6.30626,-0.1271
7608.0,25.57545,10.66417,-0.0271
8473.0,30.42576,2.4852,-0.0362
2630.0,33.3985,8.79652,0.1939
5390.0,29.33674,6.41483,0.2801
7994.0,41.17633,19.2845,0.0659
9260.0,25.6416,10.45753,-0.6102
11710.0,33.66442,18.44878,0.0384
13100.0,29.90518,2.11911,0.1374
1700.0,32.92859,3.59009,-0.1353
12926.0,18.74532,-0.57008,-0.0597
8769.0,24.13222,10.73315,-0.0128
9000.0,27.69235,5.07457,0.3444
4600.0,26.30599,2.38646,0.0217
11125.0,20.75053,1.0267,-0.0867
12410.0,30.22943,6.30626,-0.0129
9055.0,27.21006,1.8438,-0.1238
3430.0,22.00519,7.05137,-0.3032
7905.0,25.05715647,0.083944813,0.0172
3300.0,40.21164,21.4263,0.0303
9757.0,33.35267,3.57247,0.195
8300.0,27.92987,13.61402,-0.0843
8228.0,30.85223,9.8688,-0.0331
5356.0,25.28738,0.09738,0.0616
9600.0,30.41502,2.95163,-0.0104
2486.0,31.60278,15.39401,-0.0217
6553.0,33.27401,4.93877,0.5065
7543.0,32.0074,8.61479,0.1918
6985.0,34.36662,14.71335,0.1011
7994.0,25.95875,3.59192,-0.0308
12090.0,28.16035,8.35861,-0.4301
12720.0,29.7739,9.02815,-0.1612
13800.0,27.40335,7.70542,-0.4978
3200.0,38.09358,19.64371,-0.0313
3900.0,26.6788,17.19974,-0.2821
10950.0,26.06737,3.71739,-0.105
10454.0,27.27658,-4.86435,-0.3051
6140.0,33.71338,9.23935,0.329
9020.0,24.13222,10.73315,-0.0355
5700.0,23.69089,4.94015,0.0702
7600.0,33.76276,22.5147,-0.0789
13900.0,30.3156,5.52771,-0.0576
5850.0,29.26888,4.1768,-0.3949
6600.0,27.07665,4.48937,-0.0758
7300.0,26.11125,1.7455,0.1507
8090.0,27.0668,2.41443,-0.4339
2820.0,30.31787,10.0655,0.0887
9900.0,37.34504,27.14498,0.0202
12400.0,41.81672,19.74682,-0.0242
14500.0,27.70464,4.34373,-0.1241
12230.0,26.37735,2.8024,-0.1439
8500.0,28.72965,7.02579,-0.2235
7495.0,30.93442,7.87919,-0.1606
6901.0,25.88517,12.58576,0.031
12491.0,31.38396,-4.81392,-0.2361
10850.0,31.98261,-5.42037,-0.0885
8132.0,30.85223,9.8688,-0.0743
3820.0,26.41750016,15.21808649,0.367
5394.0,31.78592,3.43443,0.1628
5269.0,30.37084,12.03878,0.008
9200.0,27.15856,4.54438,0.0652
24640.0,24.49335,4.0788,-0.3543
6953.0,26.97492,7.50703,-0.0831
13500.0,37.93914,1.5913,-0.0593
7653.0,20.75053,1.0267,-0.2702
6590.0,33.53418,14.56407,0.2528
21150.0,24.67301,5.33668,-0.1522
2622.0,27.41816,7.9551,0.1812
8290.0,29.86553,6.86344,-0.1496
5520.0,31.14711,6.27729,-0.25
3354.0,35.02888,6.68193,0.0847
4500.0,26.48293,17.14181,-0.1333
10100.0,29.63297395,5.493227067,-0.1881
10660.0,41.91501,18.08905,-0.137
5883.0,29.02979,4.58544,-0.0736
7500.0,33.76276,22.5147,-0.2267
9300.0,27.15856,4.54438,0.043
9541.0,29.70962,4.91865,0.0648
8240.0,25.52041,5.62255,-0.074
5223.0,23.96254,-1.04606,0.0239
2595.0,33.7616,22.35871,0.1919
15500.0,34.95042,12.99181,-0.0387
3715.0,23.79651,5.48964,-0.0896
10933.0,21.08856,3.85794,-0.0118
12090.0,29.7984,7.28592,-0.0602
2903.0,28.99885215,15.60156742,0.0028
8687.0,29.43789,2.67676,-0.0305
1652.0,28.11711,9.32528,-0.2131
5081.0,31.60278,15.39401,-0.0638
4185.0,28.99885215,15.60156742,0.1042
9595.0,28.75747,5.77022,-0.0292
4220.0,32.2319,7.10583,0.6777
12700.0,30.13879,5.57738,-0.0709
5864.0,23.51321,-1.16091,0.0738
8190.0,30.34392,15.63515,0.0244
